MatchID,TeamID,Time,Scorer,Assist,IsOwnGoal,IsPenalty
760447,449,54',Cody Gakpo,Crysencio Summerville,False,False
760447,466,59',Anthony Elanga,Alexander Isak,False,False
760447,449,89',Crysencio Summerville,Memphis Depay,False,False
760448,4789,30',Franck Kessié,None,False,False
760448,481,68',Deniz Undav,Nadiem Amiri,False,False
760448,481,90'+4',Deniz Undav,Felix Nmecha,False,False
760449,627,4',Daichi Kamada,Keito Nakamura,False,False
760449,627,31',Ayase Ueda,Kou Itakura,False,False
760449,627,69',Junya Ito,Ayase Ueda,False,False
760449,627,83',Ayase Ueda,Kaishu Sano,False,False
760453,164,10',Lamine Yamal,Mikel Oyarzabal,False,False
760453,164,21',Mikel Oyarzabal,Aymeric Laporte,False,False
760453,164,24',Mikel Oyarzabal,Dani Olmo,False,False
760453,164,49',Hassan Al-Tambakti,None,True,False
760450,2597,21',Kevin Pina,None,False,False
760450,212,44',Maxi Araújo,None,False,False
760450,212,45'+6',Agustín Canobbio,Maxi Araújo,False,False
760450,2597,61',Hélio Varela,None,False,False
760452,2666,15',Finn Surman,Tim Payne,False,False
760452,2620,58',Mostafa Zico,Mohamed Hany,False,False
760452,2620,67',Mohamed Salah,Mostafa Zico,False,False
760452,2620,82',Trézéguet,Mohamed Salah,False,False
760456,202,38',Lionel Messi,Facundo Medina,False,False
760456,202,90'+5',Lionel Messi,None,False,False
760457,478,14',Kylian Mbappé,Michael Olise,False,False
760457,478,54',Kylian Mbappé,Ousmane Dembélé,False,False
760457,478,66',Ousmane Dembélé,Michael Olise,False,False
760454,464,43',Marcus Holmgren Pedersen,None,False,False
760454,464,48',Erling Haaland,Martin Ødegaard,False,False
760454,654,53',Ismaïla Sarr,Sadio Mané,False,False
760454,464,58',Erling Haaland,Patrick Berg,False,False
760454,654,90'+3',Ismaïla Sarr,Nicolas Jackson,False,False
760455,2917,36',Nizar Al-Rashdan,Mousa Al-Tamari,False,False
760455,624,69',Nadhir Benbouali,Riyad Mahrez,False,False
760455,624,82',Amine Gouiri,None,False,False
760461,482,6',Cristiano Ronaldo,João Cancelo,False,False
760461,482,17',Nuno Mendes,None,False,False
760461,482,39',Cristiano Ronaldo,Bruno Fernandes,False,False
760461,482,60',Abduvohid Nematov,None,True,False
760461,482,87',Rafael Leão,None,False,False
760460,477,54',Ante Budimir,Josip Stanisic,False,False
760459,208,76',Daniel Muñoz,Juan Fernando Quintero,False,False
760462,452,29',Kerim Alajbegovic,Ivan Basic,False,False
760462,452,34',Mahmoud Abunada,None,True,False
760462,4398,42',Hassan Al-Haydos,Edmílson Junior,False,False
760462,452,80',Ermin Mahmic,Dennis Hadzikadunic,False,False
760463,475,46',Rubén Vargas,Johan Manzambi,False,False
760463,475,57',Johan Manzambi,Breel Embolo,False,False
760463,206,76',Promise David,Nathan Saliba,False,False
760464,2654,10',Yassine Bounou,Jean-Kévin Duverne,True,False
760464,2869,39',Achraf Hakimi,None,False,False
760464,2654,43',Wilson Isidor,Jean-Kévin Duverne,False,False
760464,2869,45'+1',Ismael Saibari,Achraf Hakimi,False,False
760464,2869,78',Soufiane Rahimi,Chadi Riad,False,False
760464,2869,89',Gessime Yassine,Soufiane Rahimi,False,False
760465,205,7',Vinícius Júnior,Rayan,False,False
760465,205,45'+3',Vinícius Júnior,Bruno Guimarães,False,False
760465,205,60',Matheus Cunha,Bruno Guimarães,False,False
760467,203,55',Mateo Chávez,Luis Romo,False,False
760467,203,61',Julián Quiñones,Jorge Sánchez,False,False
760467,203,90'+4',Álvaro Fidalgo,Roberto Alvarado,False,False
760466,467,63',Thapelo Maseko,Tshepang Moremi,False,False
760473,4789,7',Nicolas Pépé,Yan Diomande,False,False
760473,4789,64',Nicolas Pépé,Ibrahim Sangaré,False,False
760468,481,2',Leroy Sané,Florian Wirtz,False,False
760468,209,9',Nilson Angulo,Pedro Vite,False,False
760468,209,77',Gonzalo Plata,Kevin Rodríguez,False,False
760471,627,56',Daizen Maeda,Ritsu Doan,False,False
760471,466,62',Anthony Elanga,Viktor Gyökeres,False,False
760472,449,3',Ellyes Skhiri,None,True,False
760472,449,7',Brian Brobbey,Virgil van Dijk,False,False
760472,659,54',Hazem Mastouri,Hannibal Mejbri,False,False
760472,449,62',Jan Paul van Hecke,Tijjani Reijnders,False,False
760470,660,3',Auston Trusty,Sebastian Berhalter,False,False
760470,465,10',Arda Güler,Baris Alper Yilmaz,False,False
